تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1401/06/04,21:30,لیگ برتر ایران,1401-1402,هفته 3,فولاد,2,3,-1,0,0,https://video.varzesh3.com/video/258497/
1401/06/09,17:45,لیگ برتر ایران,1401-1402,هفته 4,هوادار,0,0,0,1,1,https://video.varzesh3.com/video/258988/
1401/06/14,19:00,لیگ برتر ایران,1401-1402,هفته 5,آلومینیوم اراک,2,0,2,3,0,https://video.varzesh3.com/video/259455/
1401/06/19,17:00,لیگ برتر ایران,1401-1402,هفته 6,صنعت نفت آبادان,1,0,1,3,1,https://video.varzesh3.com/video/259938/
1401/07/10,17:00,لیگ برتر ایران,1401-1402,هفته 7,پرسپولیس,1,0,1,3,0,https://video.varzesh3.com/video/261296/
1401/07/15,18:00,لیگ برتر ایران,1401-1402,هفته 8,مس رفسنجان,0,1,-1,0,0,https://video.varzesh3.com/video/261648/
1401/07/22,16:30,لیگ برتر ایران,1401-1402,هفته 9,نفت مسجدسلیمان,3,2,1,3,1,https://video.varzesh3.com/video/262107/
1401/07/28,15:00,لیگ برتر ایران,1401-1402,هفته 10,سپاهان,2,4,-2,0,0,https://video.varzesh3.com/video/262471/
1401/08/05,15:00,لیگ برتر ایران,1401-1402,هفته 11,ملوان,1,1,0,1,1,https://video.varzesh3.com/video/263021/
1401/09/29,15:00,لیگ برتر ایران,1401-1402,هفته 12,پیکان,1,0,1,3,0,https://video.varzesh3.com/video/267801/
1400/04/19,20:15,لیگ برتر ایران,1399-1400,هفته 27,گل گهر سیرجان,1,0,1,3,1,https://video.varzesh3.com/video/235506/
1400/04/29,21:15,لیگ برتر ایران,1399-1400,هفته 28,آلومینیوم اراک,3,1,2,3,0,https://video.varzesh3.com/video/236040/
1400/05/03,21:15,لیگ برتر ایران,1399-1400,هفته 29,پرسپولیس,1,3,-2,0,0,https://video.varzesh3.com/video/236264/
1400/05/08,21:15,لیگ برتر ایران,1399-1400,هفته 30,سایپا,5,1,4,3,1,https://video.varzesh3.com/video/236508/
1400/06/23,20:30,لیگ نخبگان آسیا,2021,یک هشتم نهایی,النصر,0,1,-1,0,0,https://video.varzesh3.com/video/238540/
1400/07/28,16:00,لیگ برتر ایران,1400-1401,هفته 1,گل گهر سیرجان,1,4,-3,0,0,https://video.varzesh3.com/video/240229/
1400/08/03,18:00,لیگ برتر ایران,1400-1401,هفته 2,صنعت نفت آبادان,3,0,3,3,1,https://video.varzesh3.com/video/240531/
1400/08/08,18:00,لیگ برتر ایران,1400-1401,هفته 3,استقلال,0,1,-1,0,0,https://video.varzesh3.com/video/240780/
1400/08/14,16:00,لیگ برتر ایران,1400-1401,هفته 4,پیکان,1,2,-1,0,1,https://video.varzesh3.com/video/241127/
1400/08/28,18:00,لیگ برتر ایران,1400-1401,هفته 5,سپاهان,0,0,0,1,0,https://video.varzesh3.com/video/241874/
1400/09/03,15:00,لیگ برتر ایران,1400-1401,هفته 6,شهرخودرو مشهد,1,0,1,3,1,https://video.varzesh3.com/video/242121/
1400/09/09,16:00,لیگ برتر ایران,1400-1401,هفته 7,فولاد,0,0,0,1,0,https://video.varzesh3.com/video/242490/
1400/09/14,15:00,لیگ برتر ایران,1400-1401,هفته 8,آلومینیوم اراک,0,2,-2,0,1,https://video.varzesh3.com/video/242758/
1400/09/19,15:00,لیگ برتر ایران,1400-1401,هفته 9,مس رفسنجان,2,3,-1,0,0,https://video.varzesh3.com/video/243031/
1400/09/24,15:00,لیگ برتر ایران,1400-1401,هفته 10,نفت مسجدسلیمان,2,0,2,3,1,https://video.varzesh3.com/video/243293/
1400/09/29,15:00,جام حذفی ایران,1400-1401,1/16 نهایی,مس رفسنجان,0,0,0,1,1,https://video.varzesh3.com/video/243569/
1400/10/03,15:00,لیگ برتر ایران,1400-1401,هفته 11,هوادار,0,1,-1,0,0,https://video.varzesh3.com/video/243750/
1400/10/08,15:00,لیگ برتر ایران,1400-1401,هفته 12,ذوب آهن,0,1,-1,0,1,https://video.varzesh3.com/video/244009/
1400/10/13,17:00,لیگ برتر ایران,1400-1401,هفته 13,پرسپولیس,1,2,-1,0,0,https://video.varzesh3.com/video/244256/
1400/10/18,15:00,لیگ برتر ایران,1400-1401,هفته 14,فجر سپاسی,1,1,0,1,0,https://video.varzesh3.com/video/244538/
1400/10/23,15:00,لیگ برتر ایران,1400-1401,هفته 15,نساجی مازندران,1,1,0,1,1,https://video.varzesh3.com/video/244855/
1400/11/03,15:00,لیگ برتر ایران,1400-1401,هفته 16,گل گهر سیرجان,0,0,0,1,1,https://video.varzesh3.com/video/245414/
1400/11/23,16:00,لیگ برتر ایران,1400-1401,هفته 17,صنعت نفت آبادان,0,1,-1,0,0,https://video.varzesh3.com/video/246481/
1400/11/29,17:30,لیگ برتر ایران,1400-1401,هفته 18,استقلال,0,1,-1,0,1,https://video.varzesh3.com/video/246824/
1399/11/04,15:00,لیگ برتر ایران,1399-1400,هفته 12,گل گهر سیرجان,2,1,1,3,0,https://video.varzesh3.com/video/226541/
1399/11/11,15:00,لیگ برتر ایران,1399-1400,هفته 13,آلومینیوم اراک,0,1,-1,0,1,https://video.varzesh3.com/video/226978/
1399/11/16,15:00,لیگ برتر ایران,1399-1400,هفته 14,پرسپولیس,0,1,-1,0,1,https://video.varzesh3.com/video/227248/
1399/11/26,15:00,لیگ برتر ایران,1399-1400,هفته 15,سایپا,2,1,1,3,0,https://video.varzesh3.com/video/227997/
1399/12/11,15:00,لیگ برتر ایران,1399-1400,هفته 16,نفت مسجدسلیمان,1,1,0,1,0,https://video.varzesh3.com/video/228896/
1399/12/16,15:30,لیگ برتر ایران,1399-1400,هفته 17,نساجی مازندران,2,1,1,3,1,https://video.varzesh3.com/video/229208/
1399/12/22,15:30,جام حذفی ایران,1399-1400,1/16 نهایی,شهرداری ماهشهر,3,0,3,3,1,
1399/12/28,15:30,لیگ برتر ایران,1399-1400,هفته 18,سپاهان,0,2,-2,0,0,https://video.varzesh3.com/video/229945/
1400/01/14,17:00,لیگ برتر ایران,1399-1400,هفته 19,مس رفسنجان,0,0,0,1,1,https://video.varzesh3.com/video/230698/
1400/01/25,19:30,لیگ نخبگان آسیا,2021,هفته 1,پاختاکور,3,3,0,1,0,https://video.varzesh3.com/video/231318/
1400/01/28,22:30,لیگ نخبگان آسیا,2021,هفته 1,شارجه امارات,0,0,0,1,1,https://video.varzesh3.com/video/231491/
1400/01/31,19:30,لیگ نخبگان آسیا,2021,هفته 1,نیروی هوایی عراق,0,0,0,1,0,https://video.varzesh3.com/video/231616/
1400/02/03,19:30,لیگ نخبگان آسیا,2021,هفته 1,نیروی هوایی عراق,1,0,1,3,1,https://video.varzesh3.com/video/231754/
1400/02/06,19:30,لیگ نخبگان آسیا,2021,هفته 1,پاختاکور,0,0,0,1,1,https://video.varzesh3.com/video/231900/
1400/02/09,22:30,لیگ نخبگان آسیا,2021,هفته 1,شارجه امارات,2,0,2,3,0,https://video.varzesh3.com/video/232064/
1400/02/19,21:20,لیگ برتر ایران,1399-1400,هفته 22,پیکان,1,1,0,1,0,https://video.varzesh3.com/video/232524/
1400/02/24,18:30,لیگ برتر ایران,1399-1400,هفته 23,صنعت نفت آبادان,1,1,0,1,1,https://video.varzesh3.com/video/232857/
1400/02/29,18:00,جام حذفی ایران,1399-1400,1/8 نهایی,آلومینیوم اراک,0,2,-2,0,0,https://video.varzesh3.com/video/233118/
1400/03/03,20:45,لیگ برتر ایران,1399-1400,هفته 20,فولاد,1,1,0,1,0,https://video.varzesh3.com/video/233376/
1400/03/08,19:00,لیگ برتر ایران,1399-1400,هفته 21,ماشین سازی تبریز,2,0,2,3,1,https://video.varzesh3.com/video/233612/
1400/03/30,19:50,لیگ برتر ایران,1398-1399,سوپر جام,پرسپولیس,0,1,-1,0,0,https://video.varzesh3.com/video/234496/
1400/04/05,20:30,لیگ برتر ایران,1399-1400,هفته 24,شهرخودرو مشهد,1,2,-1,0,0,https://video.varzesh3.com/video/234835/
1400/04/09,19:15,لیگ برتر ایران,1399-1400,هفته 25,ذوب آهن,1,0,1,3,1,https://video.varzesh3.com/video/235023/
1400/04/15,19:15,لیگ برتر ایران,1399-1400,هفته 26,استقلال,1,2,-1,0,0,https://video.varzesh3.com/video/235319/
1398/11/30,15:00,جام حذفی ایران,98-99,1/4 نهایی,مس کرمان,4,1,3,3,1,https://video.varzesh3.com/video/210126/
1398/12/09,17:30,لیگ برتر ایران,1398-1399,هفته 21,پارس جنوبی جم,0,1,-1,0,0,https://video.varzesh3.com/video/210716/
1399/04/08,20:15,لیگ برتر ایران,1398-1399,هفته 22,نساجی مازندران,0,1,-1,0,1,https://video.varzesh3.com/video/216318/
1399/04/14,20:15,لیگ برتر ایران,1398-1399,هفته 23,صنعت نفت آبادان,2,0,2,3,1,https://video.varzesh3.com/video/216633/
1399/04/21,21:00,لیگ برتر ایران,1398-1399,هفته 24,استقلال,0,0,0,1,0,https://video.varzesh3.com/video/216990/
1399/04/27,20:15,لیگ برتر ایران,1398-1399,هفته 25,سپاهان,2,1,1,3,1,https://video.varzesh3.com/video/217304/
1399/05/02,20:15,لیگ برتر ایران,1398-1399,هفته 26,شهرخودرو مشهد,0,0,0,1,0,https://video.varzesh3.com/video/217599/
1399/05/10,20:00,لیگ برتر ایران,1398-1399,هفته 27,پیکان,0,0,0,1,1,https://video.varzesh3.com/video/218005/
1399/05/20,20:30,لیگ برتر ایران,1398-1399,هفته 28,شاهین شهرداری بوشهر,0,0,0,1,0,https://video.varzesh3.com/video/218508/
1399/05/25,20:45,لیگ برتر ایران,1398-1399,هفته 29,ماشین سازی تبریز,2,1,1,3,1,https://video.varzesh3.com/video/218790/
1399/05/30,20:45,لیگ برتر ایران,1398-1399,هفته 30,فولاد,0,1,-1,0,0,https://video.varzesh3.com/video/219044/
1399/06/04,19:30,جام حذفی ایران,98-99,نیمه نهایی,نفت مسجدسلیمان,1,0,1,3,1,
1399/06/13,18:15,جام حذفی ایران,98-99,فینال,استقلال,3,2,1,3,0,https://video.varzesh3.com/video/219695/
1399/08/16,16:45,لیگ برتر ایران,1399-1400,هفته 1,نفت مسجدسلیمان,0,0,0,1,1,https://video.varzesh3.com/video/222566/
1399/08/29,16:10,لیگ برتر ایران,1399-1400,هفته 2,نساجی مازندران,1,1,0,1,0,https://video.varzesh3.com/video/223158/
1399/09/07,15:15,لیگ برتر ایران,1399-1400,هفته 3,سپاهان,0,1,-1,0,1,https://video.varzesh3.com/video/223571/
1399/09/12,16:10,لیگ برتر ایران,1399-1400,هفته 4,مس رفسنجان,1,0,1,3,0,https://video.varzesh3.com/video/223819/
1399/09/17,15:00,لیگ برتر ایران,1399-1400,هفته 5,فولاد,0,0,0,1,1,https://video.varzesh3.com/video/224054/
1399/09/23,15:00,لیگ برتر ایران,1399-1400,هفته 6,ماشین سازی تبریز,1,0,1,3,0,https://video.varzesh3.com/video/224343/
1399/09/28,15:45,لیگ برتر ایران,1399-1400,هفته 7,پیکان,3,1,2,3,1,https://video.varzesh3.com/video/224605/
1399/10/04,16:45,لیگ برتر ایران,1399-1400,هفته 8,صنعت نفت آبادان,1,2,-1,0,0,https://video.varzesh3.com/video/224950/
1399/10/10,16:40,لیگ برتر ایران,1399-1400,هفته 9,شهرخودرو مشهد,0,0,0,1,1,https://video.varzesh3.com/video/225304/
1399/10/16,15:00,لیگ برتر ایران,1399-1400,هفته 10,ذوب آهن,2,1,1,3,0,https://video.varzesh3.com/video/225608/
1399/10/29,14:30,لیگ برتر ایران,1399-1400,هفته 11,استقلال,1,3,-2,0,1,https://video.varzesh3.com/video/226280/
1398/02/21,21:30,لیگ برتر ایران,1397-1398,هفته 29,پارس جنوبی جم,1,1,0,1,1,https://video.varzesh3.com/video/191371/
1398/02/26,21:30,لیگ برتر ایران,1397-1398,هفته 30,فولاد,2,2,0,1,0,https://video.varzesh3.com/video/191699/
1398/05/31,20:15,لیگ برتر ایران,1398-1399,هفته 1,نفت مسجدسلیمان,0,0,0,1,0,https://video.varzesh3.com/video/198225/
1398/06/08,17:45,لیگ برتر ایران,1398-1399,هفته 2,پرسپولیس,1,0,1,3,1,https://video.varzesh3.com/video/198831/
1398/06/24,19:45,لیگ برتر ایران,1398-1399,هفته 3,ذوب آهن,0,0,0,1,0,https://video.varzesh3.com/video/199749/
1398/06/29,17:30,لیگ برتر ایران,1398-1399,هفته 4,گل گهر سیرجان,1,0,1,3,1,https://video.varzesh3.com/video/200173/
1398/07/03,16:15,لیگ برتر ایران,1398-1399,هفته 5,سایپا,1,0,1,3,0,https://video.varzesh3.com/video/200521/
1398/07/07,15:30,جام حذفی ایران,98-99,1/16 نهایی,پاس همدان,2,1,1,3,0,https://video.varzesh3.com/video/200747/
1398/07/12,18:30,لیگ برتر ایران,1398-1399,هفته 6,پارس جنوبی جم,1,0,1,3,1,https://video.varzesh3.com/video/201136/
1398/07/29,15:30,لیگ برتر ایران,1398-1399,هفته 7,نساجی مازندران,4,0,4,3,0,https://video.varzesh3.com/video/202156/
1398/08/03,18:00,لیگ برتر ایران,1398-1399,هفته 8,صنعت نفت آبادان,1,2,-1,0,0,https://video.varzesh3.com/video/202440/
1398/08/10,18:00,لیگ برتر ایران,1398-1399,هفته 9,استقلال,2,4,-2,0,1,https://video.varzesh3.com/video/202977/
1398/08/14,15:30,لیگ برتر ایران,1398-1399,هفته 10,سپاهان,0,2,-2,0,0,https://video.varzesh3.com/video/203262/
1398/09/05,14:00,جام حذفی ایران,98-99,1/8 نهایی,نود ارومیه,1,1,0,1,0,https://video.varzesh3.com/video/204449/
1398/09/14,15:30,لیگ برتر ایران,1398-1399,هفته 13,شاهین شهرداری بوشهر,0,0,0,1,1,https://video.varzesh3.com/video/205052/
1398/09/18,15:15,لیگ برتر ایران,1398-1399,هفته 14,ماشین سازی تبریز,0,2,-2,0,0,https://video.varzesh3.com/video/205357/
1398/09/22,15:30,لیگ برتر ایران,1398-1399,هفته 15,فولاد,1,0,1,3,1,https://video.varzesh3.com/video/205675/
1398/09/28,15:30,لیگ برتر ایران,1398-1399,هفته 16,نفت مسجدسلیمان,1,0,1,3,1,https://video.varzesh3.com/video/206061/
1398/10/03,15:30,لیگ برتر ایران,1398-1399,هفته 11,شهرخودرو مشهد,3,1,2,3,1,https://video.varzesh3.com/video/206451/
1398/10/07,15:00,لیگ برتر ایران,1398-1399,هفته 12,پیکان,3,2,1,3,0,https://video.varzesh3.com/video/206696/
1398/11/06,15:15,لیگ برتر ایران,1398-1399,هفته 17,پرسپولیس,0,2,-2,0,0,https://video.varzesh3.com/video/208538/
1398/11/11,15:15,لیگ برتر ایران,1398-1399,هفته 18,ذوب آهن,2,1,1,3,1,https://video.varzesh3.com/video/208851/
1398/11/18,16:50,لیگ برتر ایران,1398-1399,هفته 19,گل گهر سیرجان,1,1,0,1,0,https://video.varzesh3.com/video/209371/
1398/11/25,15:00,لیگ برتر ایران,1398-1399,هفته 20,سایپا,3,1,2,3,1,https://video.varzesh3.com/video/209806/
1397/06/08,18:00,لیگ برتر ایران,1397-1398,هفته 6,ماشین سازی تبریز,2,1,1,3,1,https://video.varzesh3.com/video/173984/
1397/06/23,20:00,جام حذفی ایران,97-98,1/16 نهایی,صنعت نفت آبادان,3,3,0,1,0,https://video.varzesh3.com/video/174914/
1397/07/01,19:00,لیگ برتر ایران,1397-1398,هفته 7,شهرخودرو مشهد,0,0,0,1,0,https://video.varzesh3.com/video/175479/
1397/07/06,17:40,لیگ برتر ایران,1397-1398,هفته 8,استقلال خوزستان,6,0,6,3,1,https://video.varzesh3.com/video/175854/
1397/07/28,18:00,لیگ برتر ایران,1397-1398,هفته 9,صنعت نفت آبادان,1,2,-1,0,0,https://video.varzesh3.com/video/177301/
1397/08/04,16:00,لیگ برتر ایران,1397-1398,هفته 10,سپیدرود رشت,2,1,1,3,1,https://video.varzesh3.com/video/177661/
1397/08/11,15:30,لیگ برتر ایران,1397-1398,هفته 11,پیکان,2,1,1,3,0,https://video.varzesh3.com/video/178181/
1397/08/18,15:30,لیگ برتر ایران,1397-1398,هفته 12,ذوب آهن,4,1,3,3,1,https://video.varzesh3.com/video/178748/
1397/09/04,15:00,لیگ برتر ایران,1397-1398,هفته 13,پرسپولیس,0,0,0,1,0,https://video.varzesh3.com/video/179877/
1397/09/10,15:00,لیگ برتر ایران,1397-1398,هفته 14,پارس جنوبی جم,1,0,1,3,0,https://video.varzesh3.com/video/180307/
1397/09/23,15:00,لیگ برتر ایران,1397-1398,هفته 15,فولاد,1,2,-1,0,1,https://video.varzesh3.com/video/181281/
1397/11/17,15:30,لیگ برتر ایران,1397-1398,هفته 16,نفت مسجدسلیمان,3,0,3,3,1,https://video.varzesh3.com/video/185257/
1397/11/21,17:00,لیگ برتر ایران,1397-1398,هفته 17,نساجی مازندران,1,1,0,1,0,https://video.varzesh3.com/video/185532/
1397/11/26,15:30,لیگ برتر ایران,1397-1398,هفته 18,استقلال,1,0,1,3,1,https://video.varzesh3.com/video/185880/
1397/12/05,16:00,لیگ برتر ایران,1397-1398,هفته 19,سایپا,0,0,0,1,0,https://video.varzesh3.com/video/186486/
1397/12/10,16:00,لیگ برتر ایران,1397-1398,هفته 20,سپاهان,2,0,2,3,1,https://video.varzesh3.com/video/186823/
1397/12/16,15:00,لیگ برتر ایران,1397-1398,هفته 21,ماشین سازی تبریز,2,0,2,3,0,https://video.varzesh3.com/video/187250/
1397/12/23,16:00,لیگ برتر ایران,1397-1398,هفته 22,شهرخودرو مشهد,1,0,1,3,1,https://video.varzesh3.com/video/187724/
1398/01/10,19:00,لیگ برتر ایران,1397-1398,هفته 23,استقلال خوزستان,3,0,3,3,0,https://video.varzesh3.com/video/188652/
1398/01/16,17:00,لیگ برتر ایران,1397-1398,هفته 24,صنعت نفت آبادان,1,0,1,3,1,https://video.varzesh3.com/video/189031/
1398/01/23,17:00,لیگ برتر ایران,1397-1398,هفته 25,سپیدرود رشت,1,3,-2,0,0,https://video.varzesh3.com/video/189476/
1398/01/30,17:00,لیگ برتر ایران,1397-1398,هفته 26,پیکان,0,1,-1,0,1,https://video.varzesh3.com/video/189950/
1398/02/06,19:00,لیگ برتر ایران,1397-1398,هفته 27,ذوب آهن,0,2,-2,0,0,https://video.varzesh3.com/video/190396/
1398/02/11,17:00,لیگ برتر ایران,1397-1398,هفته 28,پرسپولیس,1,1,0,1,1,https://video.varzesh3.com/video/190700/
1396/10/15,14:30,لیگ برتر ایران,1396-1397,هفته 18,استقلال,0,0,0,1,1,https://video.varzesh3.com/video/159228/
1396/10/21,15:00,لیگ برتر ایران,1396-1397,هفته 19,نفت تهران,0,2,-2,0,0,https://video.varzesh3.com/video/159535/
1396/10/28,14:30,لیگ برتر ایران,1396-1397,هفته 20,سایپا,1,2,-1,0,1,https://video.varzesh3.com/video/159906/
1396/11/06,14:30,لیگ برتر ایران,1396-1397,هفته 21,سیاه جامگان,0,0,0,1,0,https://video.varzesh3.com/video/160388/
1396/11/13,14:30,لیگ برتر ایران,1396-1397,هفته 22,شهرخودرو مشهد,3,0,3,3,0,https://video.varzesh3.com/video/160819/
